chromosome	start1	end1	id1	start2	end2	id2	localScore
1	12320000	12840000	38	12320000	12720000	28	0.230769230769
1	12320000	12840000	38	12720000	12840000	4782	0.769230769231
1	12840000	13000000	39	12840000	12960000	29	0.25
1	12840000	13000000	39	12960000	13000000	4783	0.75
1	13120000	13200000	5984	13120000	13200000	4784	0.0
1	13480000	13520000	5985	13480000	13520000	4785	0.0
1	13760000	14160000	40	13760000	15440000	30	0.761904761905
1	14160000	14280000	41	13760000	15440000	30	0.928571428571
1	14280000	14880000	42	13760000	15440000	30	0.642857142857
1	14880000	15440000	43	13760000	15440000	30	0.666666666667
1	15440000	15640000	44	15440000	15840000	31	0.5
1	15640000	15840000	45	15440000	15840000	31	0.5
1	15840000	16080000	46	15840000	16080000	32	0.0
1	16080000	16360000	47	16080000	16360000	33	0.0
1	16360000	16600000	48	16360000	16680000	34	0.25
1	16600000	16880000	49	16360000	16680000	34	0.75
1	16600000	16880000	49	16680000	16840000	35	0.428571428571
1	16600000	16880000	49	16840000	17120000	36	0.857142857143
1	16880000	16960000	5986	16840000	17120000	36	0.714285714286
1	16960000	17120000	50	16840000	17120000	36	0.428571428571
1	17160000	17240000	5987	17160000	17240000	4786	0.0
1	17240000	17360000	51	17240000	17400000	37	0.25
1	17360000	17760000	52	17240000	17400000	37	0.9
1	17360000	17760000	52	17400000	17760000	38	0.1
1	17760000	17960000	53	17760000	17960000	39	0.0
1	17960000	18240000	54	17960000	19200000	40	0.774193548387
1	18240000	18640000	55	17960000	19200000	40	0.677419354839
1	18640000	18920000	56	17960000	19200000	40	0.774193548387
1	18920000	19200000	57	17960000	19200000	40	0.774193548387
1	19200000	19400000	58	19200000	19560000	41	0.444444444444
1	19400000	19600000	59	19200000	19560000	41	0.555555555556
1	19400000	19600000	59	19560000	20000000	42	0.909090909091
1	19600000	20000000	60	19560000	20000000	42	0.0909090909091
1	20000000	20240000	61	20000000	20200000	43	0.166666666667
1	20000000	20240000	61	20200000	20840000	44	0.9375
1	20240000	20520000	62	20200000	20840000	44	0.5625
1	20520000	20840000	63	20200000	20840000	44	0.5
1	20840000	21000000	64	20840000	21000000	45	0.0
1	21000000	21520000	65	21000000	21520000	46	0.0
1	21520000	21960000	66	21520000	22000000	47	0.0833333333333
1	21960000	22360000	67	21520000	22000000	47	0.916666666667
1	21960000	22360000	67	22000000	22360000	48	0.1
1	22360000	22400000	5988	22360000	23000000	49	0.9375
1	22400000	22760000	68	22360000	23000000	49	0.4375
1	22760000	23000000	69	22360000	23000000	49	0.625
1	23000000	23280000	70	23000000	23280000	50	0.0
1	23280000	23640000	71	23280000	23600000	51	0.111111111111
1	23280000	23640000	71	23600000	23800000	52	0.888888888889
1	23640000	24080000	72	23600000	23800000	52	0.636363636364
1	23640000	24080000	72	23800000	24080000	53	0.363636363636
1	24080000	24320000	73	24080000	24440000	54	0.333333333333
1	24320000	24520000	74	24080000	24440000	54	0.666666666667
1	24320000	24520000	74	24440000	24960000	55	0.846153846154
1	24520000	24720000	75	24440000	24960000	55	0.615384615385
1	24720000	24960000	76	24440000	24960000	55	0.538461538462
1	24960000	25200000	77	24960000	25200000	56	0.0
1	25200000	25560000	78	25200000	25560000	57	0.0
1	25560000	25640000	5989	25560000	26160000	58	0.866666666667
1	25640000	25840000	79	25560000	26160000	58	0.666666666667
1	25840000	26160000	80	25560000	26160000	58	0.466666666667
1	26160000	26360000	81	26160000	26360000	59	0.0
1	26360000	26760000	82	26360000	26800000	60	0.0909090909091
1	26760000	26840000	5990	26360000	26800000	60	0.909090909091
1	26760000	26840000	5990	26800000	27240000	61	0.909090909091
1	26840000	27240000	83	26800000	27240000	61	0.0909090909091
1	27240000	27320000	5991	27240000	27640000	62	0.8
1	27320000	27640000	84	27240000	27640000	62	0.2
1	27640000	28000000	85	27640000	28000000	63	0.0
1	28000000	28160000	86	28000000	28160000	64	0.0
1	28160000	28560000	87	28160000	28560000	65	0.0
1	28560000	28840000	88	28560000	28960000	66	0.3
1	28840000	28960000	89	28560000	28960000	66	0.7
1	28960000	29080000	90	28960000	29560000	67	0.8
1	29080000	29200000	91	28960000	29560000	67	0.8
1	29200000	29560000	92	28960000	29560000	67	0.4
1	29560000	29880000	93	29560000	29880000	4787	0.0
1	30040000	30160000	94	30040000	31120000	68	0.888888888889
1	30160000	30600000	95	30040000	31120000	68	0.592592592593
1	30600000	31200000	96	30040000	31120000	68	0.518518518519
1	30600000	31200000	96	31120000	31200000	4788	0.866666666667
1	31200000	31440000	97	31200000	31440000	69	0.0
1	31440000	31640000	98	31440000	31640000	70	0.0
1	31640000	31840000	99	31640000	32080000	71	0.545454545455
1	31840000	32080000	100	31640000	32080000	71	0.454545454545
1	32080000	32280000	101	32080000	32240000	72	0.2
1	32080000	32280000	101	32240000	32480000	73	0.833333333333
1	32280000	32480000	102	32240000	32480000	73	0.166666666667
1	32480000	32680000	103	32480000	32680000	74	0.0
1	32680000	32840000	104	32680000	32880000	75	0.2
1	32840000	33360000	105	32680000	32880000	75	0.923076923077
1	32840000	33360000	105	32880000	33280000	76	0.230769230769
1	32840000	33360000	105	33280000	33560000	77	0.846153846154
1	33360000	33560000	106	33280000	33560000	77	0.285714285714
1	33560000	33960000	107	33560000	33960000	78	0.0
1	33960000	34080000	108	33960000	35000000	4789	0.884615384615
1	34080000	35240000	109	33960000	35000000	4789	0.206896551724
1	34080000	35240000	109	35000000	35120000	79	0.896551724138
1	34080000	35240000	109	35120000	35480000	4790	0.896551724138
1	35240000	35320000	5992	35120000	35480000	4790	0.777777777778
1	35320000	35600000	110	35120000	35480000	4790	0.555555555556
1	35320000	35600000	110	35480000	35640000	80	0.571428571429
1	35600000	36040000	111	35480000	35640000	80	0.909090909091
1	35600000	36040000	111	35640000	36000000	81	0.181818181818
1	35600000	36040000	111	36000000	36280000	82	0.909090909091
1	36040000	36280000	112	36000000	36280000	82	0.142857142857
1	36280000	36560000	113	36280000	36560000	83	0.0
1	36560000	36920000	114	36560000	36920000	84	0.0
1	36920000	37000000	5993	36920000	37000000	4791	0.0
1	37000000	37520000	115	37000000	37920000	85	0.434782608696
1	37520000	37920000	116	37000000	37920000	85	0.565217391304
1	37920000	38000000	5994	37920000	38160000	86	0.666666666667
1	38000000	38160000	117	37920000	38160000	86	0.333333333333
1	38160000	38480000	118	38160000	38280000	87	0.625
1	38160000	38480000	118	38280000	38480000	88	0.375
1	38480000	39000000	119	38480000	39320000	89	0.380952380952
1	39000000	39320000	120	38480000	39320000	89	0.619047619048
1	39320000	39520000	121	39320000	39520000	90	0.0
1	39520000	39560000	5995	39520000	40040000	91	0.923076923077
1	39560000	39760000	122	39520000	40040000	91	0.615384615385
1	39760000	40040000	123	39520000	40040000	91	0.461538461538
1	40040000	40240000	124	40040000	40240000	92	0.0
1	40240000	40520000	125	40240000	40520000	93	0.0
1	40520000	40920000	126	40520000	41000000	94	0.166666666667
1	40920000	41040000	127	40520000	41000000	94	0.833333333333
1	40920000	41040000	127	41000000	41480000	95	0.916666666667
1	41040000	41480000	128	41000000	41480000	95	0.0833333333333
1	41480000	41720000	129	41480000	41720000	96	0.0
1	41720000	41960000	130	41720000	41960000	97	0.0
1	41960000	42640000	131	41960000	43240000	98	0.46875
1	42640000	43240000	132	41960000	43240000	98	0.53125
1	43240000	43640000	133	43240000	43640000	99	0.0
1	43640000	43960000	134	43640000	43920000	100	0.125
1	43640000	43960000	134	43920000	44160000	101	0.875
1	43960000	44200000	135	43920000	44160000	101	0.166666666667
1	43960000	44200000	135	44160000	44480000	102	0.875
1	44200000	44440000	136	44160000	44480000	102	0.25
1	44440000	44520000	5996	44160000	44480000	102	0.875
1	44440000	44520000	5996	44480000	45160000	103	0.941176470588
1	44520000	45160000	137	44480000	45160000	103	0.0588235294118
1	45160000	45280000	138	45160000	45240000	4792	0.333333333333
1	45160000	45280000	138	45240000	45480000	104	0.833333333333
1	45280000	45480000	139	45240000	45480000	104	0.166666666667
1	45480000	45800000	140	45480000	45760000	105	0.125
1	45480000	45800000	140	45760000	46040000	106	0.875
1	45800000	45960000	141	45760000	46040000	106	0.428571428571
1	45960000	46080000	142	45760000	46040000	106	0.714285714286
1	45960000	46080000	142	46040000	46720000	107	0.941176470588
1	46080000	46480000	143	46040000	46720000	107	0.411764705882
1	46480000	46720000	144	46040000	46720000	107	0.647058823529
1	46720000	46880000	145	46720000	46840000	108	0.25
1	46720000	46880000	145	46840000	47040000	109	0.8
1	46880000	47200000	146	46840000	47040000	109	0.5
1	46880000	47200000	146	47040000	47200000	110	0.5
1	47200000	47640000	147	47200000	47400000	4793	0.545454545455
1	47200000	47640000	147	47400000	47560000	111	0.636363636364
1	47200000	47640000	147	47560000	47640000	4794	0.818181818182
1	47640000	47880000	148	47640000	47880000	112	0.0
1	47880000	48200000	149	47880000	48200000	113	0.0
1	48200000	48560000	150	48200000	48560000	4795	0.0
1	48560000	48720000	151	48560000	48680000	114	0.25
1	48560000	48720000	151	48680000	48800000	4796	0.75
1	48720000	49000000	152	48680000	48800000	4796	0.714285714286
1	48720000	49000000	152	48800000	48960000	115	0.428571428571
1	48720000	49000000	152	48960000	50840000	4797	0.978723404255
1	49000000	49360000	153	48960000	50840000	4797	0.808510638298
1	49360000	50560000	154	48960000	50840000	4797	0.36170212766
1	50560000	50840000	155	48960000	50840000	4797	0.851063829787
1	50840000	51080000	156	50840000	51200000	116	0.333333333333
1	51080000	51200000	157	50840000	51200000	116	0.666666666667
1	51200000	51720000	158	51200000	51680000	117	0.0769230769231
1	51200000	51720000	158	51680000	51760000	4798	0.923076923077
1	51720000	51760000	5997	51680000	51760000	4798	0.5
1	51760000	52080000	159	51760000	52040000	118	0.125
1	51760000	52080000	159	52040000	52280000	119	0.875
1	52080000	52280000	160	52040000	52280000	119	0.166666666667
1	52280000	52520000	161	52280000	52520000	120	0.0
1	52520000	52840000	162	52520000	52840000	121	0.0
1	52840000	53160000	163	52840000	53160000	122	0.0
1	53160000	53680000	164	53160000	53720000	123	0.0714285714286
1	53680000	53920000	165	53160000	53720000	123	0.928571428571
1	53680000	53920000	165	53720000	53880000	124	0.333333333333
1	53680000	53920000	165	53880000	54280000	125	0.9
1	53920000	54240000	166	53880000	54280000	125	0.2
1	54240000	54520000	167	53880000	54280000	125	0.9
1	54240000	54520000	167	54280000	54520000	126	0.142857142857
1	54520000	55120000	168	54520000	55000000	127	0.2
1	54520000	55120000	168	55000000	55320000	128	0.8
1	55120000	55320000	169	55000000	55320000	128	0.375
1	55320000	55520000	170	55320000	55360000	4799	0.8
1	55320000	55520000	170	55360000	55520000	129	0.2
1	55520000	55760000	171	55520000	55760000	130	0.0
1	55760000	57280000	172	55760000	57200000	131	0.0526315789474
1	55760000	57280000	172	57200000	57280000	4800	0.947368421053
1	57280000	57440000	173	57280000	59000000	132	0.906976744186
1	57440000	58680000	174	57280000	59000000	132	0.279069767442
1	58680000	59000000	175	57280000	59000000	132	0.813953488372
1	59000000	59160000	176	59000000	59160000	133	0.0
1	59160000	60240000	177	59160000	60240000	134	0.0
1	60240000	60320000	5998	60240000	60400000	4801	0.5
1	60320000	60440000	178	60240000	60400000	4801	0.5
1	60320000	60440000	178	60400000	62560000	135	0.981481481481
1	60440000	60600000	179	60400000	62560000	135	0.925925925926
1	60600000	61280000	180	60400000	62560000	135	0.685185185185
1	61280000	61520000	181	60400000	62560000	135	0.888888888889
1	61520000	62120000	182	60400000	62560000	135	0.722222222222
1	62120000	62360000	183	60400000	62560000	135	0.888888888889
1	62360000	62600000	184	60400000	62560000	135	0.907407407407
1	62360000	62600000	184	62560000	62640000	4802	0.833333333333
1	62600000	62920000	185	62560000	62640000	4802	0.875
1	62600000	62920000	185	62640000	62880000	136	0.25
1	62600000	62920000	185	62880000	63240000	137	0.888888888889
1	62920000	63280000	186	62880000	63240000	137	0.111111111111
1	62920000	63280000	186	63240000	63320000	4803	0.888888888889
1	63280000	64040000	187	63240000	63320000	4803	0.947368421053
1	63280000	64040000	187	63320000	63800000	138	0.368421052632
1	63280000	64040000	187	63800000	63920000	139	0.842105263158
1	63280000	64040000	187	63920000	64040000	4804	0.842105263158
1	64040000	64720000	188	64040000	64720000	140	0.0
1	64720000	65320000	189	64720000	65320000	141	0.0
1	65320000	65520000	190	65320000	65480000	142	0.2
1	65320000	65520000	190	65480000	65640000	4805	0.8
1	65520000	65680000	191	65480000	65640000	4805	0.25
1	65520000	65680000	191	65640000	66200000	143	0.928571428571
1	65680000	66160000	192	65640000	66200000	143	0.142857142857
1	66160000	66200000	5999	65640000	66200000	143	0.928571428571
1	66200000	66400000	193	66200000	66360000	144	0.2
1	66200000	66400000	193	66360000	66720000	145	0.888888888889
1	66400000	66720000	194	66360000	66720000	145	0.111111111111
1	66720000	66960000	195	66720000	66920000	146	0.166666666667
1	66720000	66960000	195	66920000	67200000	147	0.857142857143
1	66960000	67200000	196	66920000	67200000	147	0.142857142857
1	67200000	67680000	197	67200000	67680000	148	0.0
1	67680000	68000000	198	67680000	68000000	149	0.0
1	68000000	68240000	199	68000000	68320000	150	0.25
1	68240000	68320000	6000	68000000	68320000	150	0.75
1	68320000	68560000	200	68320000	68560000	151	0.0
1	68560000	68840000	201	68560000	68840000	152	0.0
1	68840000	68880000	6001	68840000	68920000	4806	0.5
1	68880000	70240000	202	68840000	68920000	4806	0.970588235294
1	68880000	70240000	202	68920000	70680000	153	0.25
1	70240000	70600000	203	68920000	70680000	153	0.795454545455
1	70600000	70680000	6002	68920000	70680000	153	0.954545454545
1	70680000	70960000	204	70680000	70880000	154	0.285714285714
1	70680000	70960000	204	70880000	71000000	155	0.714285714286
1	70960000	71520000	205	70880000	71000000	155	0.928571428571
1	70960000	71520000	205	71000000	75720000	156	0.889830508475
1	71520000	71560000	6003	71000000	75720000	156	0.991525423729
1	71560000	72040000	206	71000000	75720000	156	0.898305084746
1	72040000	72600000	207	71000000	75720000	156	0.881355932203
1	72600000	73080000	208	71000000	75720000	156	0.898305084746
1	73080000	74160000	209	71000000	75720000	156	0.771186440678
1	74160000	75200000	210	71000000	75720000	156	0.779661016949
1	75200000	75680000	211	71000000	75720000	156	0.898305084746
1	75680000	76200000	212	71000000	75720000	156	0.991525423729
1	75680000	76200000	212	75720000	76160000	157	0.153846153846
1	75680000	76200000	212	76160000	76280000	158	0.923076923077
1	76200000	76320000	6004	76160000	76280000	158	0.333333333333
1	76200000	76320000	6004	76280000	77600000	159	0.969696969697
1	76320000	77600000	213	76280000	77600000	159	0.030303030303
1	77600000	78040000	214	77600000	78160000	160	0.214285714286
1	78040000	78160000	215	77600000	78160000	160	0.785714285714
1	78160000	78400000	216	78160000	78440000	161	0.142857142857
1	78400000	78600000	217	78160000	78440000	161	0.857142857143
1	78400000	78600000	217	78440000	78600000	162	0.2
1	78600000	79120000	218	78600000	78760000	4807	0.692307692308
1	78600000	79120000	218	78760000	78880000	163	0.769230769231
1	78600000	79120000	218	78880000	79200000	4808	0.538461538462
1	79120000	79160000	6005	78880000	79200000	4808	0.875
1	79160000	79280000	219	78880000	79200000	4808	0.875
1	79160000	79280000	219	79200000	80680000	164	0.945945945946
1	79280000	79680000	220	79200000	80680000	164	0.72972972973
1	79680000	80640000	221	79200000	80680000	164	0.351351351351
1	80640000	83200000	222	79200000	80680000	164	0.984375
1	80640000	83200000	222	80680000	82440000	165	0.3125
1	80640000	83200000	222	82440000	84360000	166	0.703125
1	83200000	84040000	223	82440000	84360000	166	0.5625
1	84040000	84320000	224	82440000	84360000	166	0.854166666667
1	84320000	85240000	225	82440000	84360000	166	0.979166666667
1	84320000	85240000	225	84360000	84600000	167	0.739130434783
1	84320000	85240000	225	84600000	84920000	168	0.652173913043
1	84320000	85240000	225	84920000	85240000	169	0.652173913043
1	85240000	85400000	226	85240000	85400000	170	0.0
1	85400000	85720000	227	85400000	85760000	171	0.111111111111
1	85720000	86200000	228	85400000	85760000	171	0.916666666667
1	85720000	86200000	228	85760000	86160000	172	0.166666666667
1	85720000	86200000	228	86160000	86520000	173	0.916666666667
1	86200000	86320000	229	86160000	86520000	173	0.666666666667
1	86320000	86840000	230	86160000	86520000	173	0.615384615385
1	86320000	86840000	230	86520000	86640000	174	0.769230769231
1	86320000	86840000	230	86640000	86840000	4809	0.615384615385
1	86840000	87240000	231	86840000	87000000	175	0.6
1	86840000	87240000	231	87000000	87200000	4810	0.5
1	86840000	87240000	231	87200000	87560000	176	0.9
1	87240000	87560000	232	87200000	87560000	176	0.111111111111
1	87560000	88640000	233	87560000	87720000	4811	0.851851851852
1	87560000	88640000	233	87720000	88600000	177	0.185185185185
1	87560000	88640000	233	88600000	89080000	178	0.962962962963
1	88640000	89080000	234	88600000	89080000	178	0.0833333333333
1	89080000	89160000	6006	89080000	89400000	179	0.75
1	89160000	89400000	235	89080000	89400000	179	0.25
1	89400000	89960000	236	89400000	89920000	180	0.0714285714286
1	89400000	89960000	236	89920000	90240000	181	0.928571428571
1	89960000	90080000	237	89920000	90240000	181	0.625
1	90080000	90240000	238	89920000	90240000	181	0.5
1	90240000	90480000	239	90240000	90480000	182	0.0
1	90480000	91160000	240	90480000	91760000	183	0.46875
1	91160000	91760000	241	90480000	91760000	183	0.53125
1	91760000	91960000	242	91760000	91880000	184	0.4
1	91760000	91960000	242	91880000	91960000	4812	0.6
1	91960000	92440000	243	91960000	92400000	185	0.0833333333333
1	91960000	92440000	243	92400000	92760000	186	0.916666666667
1	92440000	92760000	244	92400000	92760000	186	0.111111111111
1	92760000	93280000	245	92760000	93280000	187	0.0
1	93280000	93560000	246	93280000	93480000	188	0.285714285714
1	93280000	93560000	246	93480000	93760000	189	0.714285714286
1	93560000	93720000	247	93480000	93760000	189	0.428571428571
1	93720000	94360000	248	93480000	93760000	189	0.9375
1	93720000	94360000	248	93760000	94040000	190	0.5625
1	93720000	94360000	248	94040000	94320000	191	0.5625
1	93720000	94360000	248	94320000	94360000	4813	0.9375
1	94360000	94480000	249	94360000	94960000	192	0.8
1	94480000	94840000	250	94360000	94960000	192	0.4
1	94840000	94960000	251	94360000	94960000	192	0.8
1	94960000	95280000	252	94960000	95280000	193	0.0
1	95280000	95520000	253	95280000	95520000	194	0.0
1	95520000	95720000	254	95520000	95720000	195	0.0
1	95720000	97400000	255	95720000	99120000	196	0.505882352941
1	97400000	98560000	256	95720000	99120000	196	0.658823529412
1	98560000	98960000	257	95720000	99120000	196	0.882352941176
1	98960000	99200000	258	95720000	99120000	196	0.952941176471
1	98960000	99200000	258	99120000	99200000	4814	0.666666666667
1	99200000	100240000	259	99200000	100240000	197	0.0
1	100240000	100560000	260	100240000	100920000	198	0.529411764706
1	100560000	100960000	261	100240000	100920000	198	0.470588235294
1	100560000	100960000	261	100920000	101360000	199	0.909090909091
1	100960000	101360000	262	100920000	101360000	199	0.0909090909091
1	101360000	101800000	263	101360000	101800000	200	0.0
1	101800000	101960000	264	101800000	101960000	4815	0.0
1	101960000	102920000	265	101960000	103800000	201	0.478260869565
1	102920000	103520000	266	101960000	103800000	201	0.673913043478
1	103520000	103800000	267	101960000	103800000	201	0.847826086957
1	104000000	104080000	6008	104000000	104080000	4816	0.0
1	104080000	104200000	268	104080000	104200000	202	0.0
1	104280000	105200000	269	104280000	108320000	203	0.772277227723
1	105200000	106360000	270	104280000	108320000	203	0.712871287129
1	106360000	107760000	271	104280000	108320000	203	0.653465346535
1	107760000	108080000	272	104280000	108320000	203	0.920792079208
1	108080000	108320000	273	104280000	108320000	203	0.940594059406
1	108320000	108720000	274	108320000	108680000	204	0.1
1	108320000	108720000	274	108680000	108800000	4817	0.9
1	108720000	108800000	6009	108680000	108800000	4817	0.333333333333
1	108840000	108920000	6010	108840000	108920000	4818	0.0
1	109000000	109240000	275	109000000	109040000	4819	0.833333333333
1	109000000	109240000	275	109040000	109240000	205	0.166666666667
1	109240000	109480000	276	109240000	109480000	206	0.0
1	109480000	109640000	277	109480000	109760000	207	0.428571428571
1	109640000	109800000	278	109480000	109760000	207	0.571428571429
1	109640000	109800000	278	109760000	110040000	208	0.857142857143
1	109800000	109960000	279	109760000	110040000	208	0.428571428571
1	109960000	110080000	280	109760000	110040000	208	0.714285714286
1	109960000	110080000	280	110040000	110320000	209	0.857142857143
1	110080000	110560000	281	110040000	110320000	209	0.5
1	110080000	110560000	281	110320000	110560000	210	0.5
1	110560000	110720000	282	110560000	110680000	211	0.25
1	110560000	110720000	282	110680000	111080000	212	0.9
1	110720000	111040000	283	110680000	111080000	212	0.2
1	111040000	111360000	284	110680000	111080000	212	0.9
1	111040000	111360000	284	111080000	111160000	4820	0.75
1	111040000	111360000	284	111160000	111320000	213	0.5
1	111040000	111360000	284	111320000	111440000	214	0.875
1	111360000	111560000	285	111320000	111440000	214	0.6
1	111360000	111560000	285	111440000	111720000	4821	0.571428571429
1	111560000	111680000	286	111440000	111720000	4821	0.571428571429
1	111680000	112000000	287	111440000	111720000	4821	0.875
1	111680000	112000000	287	111720000	112000000	215	0.125
1	112000000	112320000	288	112000000	112320000	216	0.0
1	112320000	112920000	289	112320000	112920000	217	0.0
1	112920000	113240000	290	112920000	113240000	218	0.0
1	113240000	113640000	291	113240000	113640000	219	0.0
1	113640000	114280000	292	113640000	114320000	220	0.0588235294118
1	114280000	114360000	6011	113640000	114320000	220	0.941176470588
1	114280000	114360000	6011	114320000	114520000	221	0.8
1	114360000	114480000	293	114320000	114520000	221	0.4
1	114480000	114880000	294	114320000	114520000	221	0.9
1	114480000	114880000	294	114520000	114880000	222	0.1
1	114880000	115120000	295	114880000	115280000	223	0.4
1	115120000	115280000	296	114880000	115280000	223	0.6
1	115280000	115520000	297	115280000	115520000	4822	0.0
1	115520000	115640000	298	115520000	115640000	224	0.0
1	115640000	116120000	299	115640000	116160000	225	0.0769230769231
1	116120000	116320000	300	115640000	116160000	225	0.923076923077
1	116120000	116320000	300	116160000	116320000	226	0.2
1	116320000	116640000	301	116320000	116560000	227	0.25
1	116320000	116640000	301	116560000	116640000	4823	0.75
1	116640000	117080000	302	116640000	117080000	228	0.0
1	117080000	117600000	303	117080000	117240000	4824	0.692307692308
1	117080000	117600000	303	117240000	117600000	229	0.307692307692
1	117600000	117640000	6012	117600000	117880000	230	0.857142857143
1	117640000	117840000	304	117600000	117880000	230	0.285714285714
1	117840000	118040000	305	117600000	117880000	230	0.857142857143
1	117840000	118040000	305	117880000	118040000	231	0.2
1	118040000	118400000	306	118040000	118480000	232	0.181818181818
1	118400000	118520000	307	118040000	118480000	232	0.818181818182
1	118400000	118520000	307	118480000	118560000	4825	0.666666666667
1	118520000	119800000	308	118480000	118560000	4825	0.96875
1	118520000	119800000	308	118560000	120040000	233	0.162162162162
1	119800000	119920000	309	118560000	120040000	233	0.918918918919
1	119920000	120120000	310	118560000	120040000	233	0.918918918919
1	119920000	120120000	310	120040000	120120000	4826	0.6
1	120120000	120400000	311	120120000	120280000	234	0.428571428571
1	120120000	120400000	311	120280000	120680000	235	0.7
1	120400000	120640000	312	120280000	120680000	235	0.4
1	120640000	120680000	6013	120280000	120680000	235	0.9
1	120760000	120840000	6014	120760000	120840000	4827	0.0
1	120880000	120920000	6015	120880000	120920000	4828	0.0
1	121080000	121120000	6016	121080000	121120000	4829	0.0
1	121120000	121320000	313	121120000	121280000	236	0.2
1	121120000	121320000	313	121280000	121360000	4830	0.8
1	121320000	121480000	314	121280000	121360000	4830	0.75
1	121320000	121480000	314	121360000	121480000	237	0.25
1	142520000	142680000	315	142520000	142640000	238	0.25
1	142520000	142680000	315	142640000	142720000	4831	0.75
1	142680000	142720000	6017	142640000	142720000	4831	0.5
1	142800000	142920000	6018	142800000	142920000	4832	0.0
1	143120000	143160000	6019	143120000	143240000	239	0.666666666667
1	143160000	143280000	316	143120000	143240000	239	0.333333333333
1	143160000	143280000	316	143240000	143280000	4833	0.666666666667
1	143360000	143480000	317	143360000	143560000	4834	0.4
1	143480000	143560000	6020	143360000	143560000	4834	0.6
1	143720000	143760000	6021	143720000	143760000	4835	0.0
1	143960000	144080000	318	143960000	144080000	4836	0.0
1	144520000	144600000	6023	144520000	144600000	4837	0.0
1	144680000	144720000	6024	144680000	144720000	4838	0.0
1	144800000	145000000	6025	144800000	144880000	4839	0.6
1	144800000	145000000	6025	144880000	145000000	240	0.4
1	145040000	145120000	6025	145040000	145120000	4840	0.0
1	145120000	145280000	319	145120000	145240000	241	0.25
1	145120000	145280000	319	145240000	145320000	4841	0.75
1	145280000	145320000	6026	145240000	145320000	4841	0.5
1	145360000	145600000	320	145360000	145600000	242	0.0
1	145600000	145840000	321	145600000	145840000	243	0.0
1	146320000	146400000	6027	146320000	146400000	4842	0.0
1	146440000	146480000	6028	146440000	146720000	244	0.857142857143
1	146480000	146720000	322	146440000	146720000	244	0.142857142857
1	146720000	146960000	323	146720000	146960000	245	0.0
1	146960000	147120000	324	146960000	147120000	246	0.0
1	147120000	147440000	325	147120000	147400000	247	0.125
1	147120000	147440000	325	147400000	147440000	4843	0.875
1	147680000	147840000	6029	147680000	147800000	248	0.25
1	147680000	147840000	6029	147800000	147840000	4844	0.75
1	148200000	148280000	6032	148200000	148280000	4845	0.0
1	148520000	148560000	6034	148520000	148560000	4846	0.0
1	148840000	148960000	326	148840000	148960000	4847	0.0
